order_id,item_id,shelf_location_x,shelf_location_y,zone,item_type,priority,quantity,order_timestamp
ORD_0001,electronics_accessories_15_1,15,1,electronics,accessories,1,3,2025-07-09 09:55:38.974600
ORD_0001,books_textbooks_2_1,2,1,books,textbooks,2,1,2025-07-09 21:09:38.974680
ORD_0001,home_bathroom_14_9,14,9,home,bathroom,3,2,2025-07-10 01:04:38.974697
ORD_0001,electronics_gaming_14_1,14,1,electronics,gaming,3,3,2025-07-09 04:08:38.974711
ORD_0002,home_kitchen_15_8,15,8,home,kitchen,2,1,2025-07-09 11:40:38.974809
ORD_0002,home_bedroom_12_9,12,9,home,bedroom,2,1,2025-07-09 17:43:38.974823
ORD_0002,home_kitchen_13_8,13,8,home,kitchen,1,1,2025-07-09 10:30:38.974835
ORD_0003,books_fiction_2_1,2,1,books,fiction,2,1,2025-07-09 06:31:38.974909
ORD_0004,fashion_clothing_1_7,1,7,fashion,clothing,1,2,2025-07-09 14:17:38.974981
ORD_0004,home_bedroom_11_7,11,7,home,bedroom,2,3,2025-07-10 02:12:38.974995
ORD_0004,fashion_jewelry_2_7,2,7,fashion,jewelry,2,1,2025-07-10 02:23:38.975008
ORD_0004,fashion_jewelry_3_6,3,6,fashion,jewelry,1,3,2025-07-10 01:56:38.975021
ORD_0005,books_fiction_1_4,1,4,books,fiction,3,3,2025-07-09 07:30:38.975095
ORD_0005,electronics_computers_16_3,16,3,electronics,computers,1,3,2025-07-09 06:19:38.975116
ORD_0005,books_non_fiction_2_3,2,3,books,non_fiction,2,2,2025-07-09 03:37:38.975128
ORD_0006,electronics_gaming_16_4,16,4,electronics,gaming,2,2,2025-07-09 17:54:38.975196
ORD_0006,fashion_watches_5_7,5,7,fashion,watches,3,3,2025-07-09 18:52:38.975209
ORD_0006,fashion_jewelry_1_7,1,7,fashion,jewelry,2,1,2025-07-10 00:13:38.975221
ORD_0006,electronics_computers_13_3,13,3,electronics,computers,1,2,2025-07-09 18:21:38.975232
ORD_0007,fashion_clothing_4_7,4,7,fashion,clothing,2,2,2025-07-09 23:27:38.975321
ORD_0007,electronics_computers_14_1,14,1,electronics,computers,3,3,2025-07-09 11:52:38.975337
ORD_0007,books_fiction_2_2,2,2,books,fiction,3,2,2025-07-09 07:42:38.975349
ORD_0007,electronics_gaming_12_3,12,3,electronics,gaming,2,1,2025-07-09 21:48:38.975362
ORD_0008,books_fiction_4_4,4,4,books,fiction,3,2,2025-07-09 16:45:38.975468
ORD_0008,home_bedroom_11_7,11,7,home,bedroom,2,3,2025-07-09 23:28:38.975488
ORD_0008,home_bathroom_12_7,12,7,home,bathroom,3,3,2025-07-09 12:34:38.975501
ORD_0008,electronics_gaming_15_1,15,1,electronics,gaming,1,1,2025-07-09 23:30:38.975513
ORD_0008,electronics_gaming_12_3,12,3,electronics,gaming,2,3,2025-07-09 09:10:38.975525
ORD_0009,electronics_gaming_15_3,15,3,electronics,gaming,1,1,2025-07-09 11:07:38.975600
ORD_0009,fashion_watches_1_7,1,7,fashion,watches,2,1,2025-07-09 20:57:38.975614
ORD_0009,books_fiction_2_4,2,4,books,fiction,2,3,2025-07-09 20:09:38.975626
ORD_0009,books_fiction_5_3,5,3,books,fiction,2,3,2025-07-10 01:33:38.975638
ORD_0010,home_bathroom_15_8,15,8,home,bathroom,3,2,2025-07-09 06:25:38.975707
ORD_0010,electronics_computers_14_4,14,4,electronics,computers,3,2,2025-07-09 11:05:38.975721
ORD_0011,fashion_jewelry_6_7,6,7,fashion,jewelry,3,2,2025-07-09 23:01:38.975789
ORD_0011,home_bathroom_12_7,12,7,home,bathroom,3,2,2025-07-09 08:02:38.975801
ORD_0012,electronics_computers_14_2,14,2,electronics,computers,1,1,2025-07-10 00:39:38.975870
ORD_0012,fashion_clothing_2_8,2,8,fashion,clothing,2,1,2025-07-09 06:14:38.975882
ORD_0013,home_bathroom_11_6,11,6,home,bathroom,1,1,2025-07-09 12:47:38.975949
ORD_0013,electronics_computers_16_1,16,1,electronics,computers,2,1,2025-07-10 01:11:38.975962
ORD_0014,electronics_computers_15_2,15,2,electronics,computers,3,2,2025-07-09 16:14:38.976030
ORD_0015,books_fiction_5_2,5,2,books,fiction,2,1,2025-07-09 03:01:38.976097
ORD_0015,fashion_jewelry_4_9,4,9,fashion,jewelry,2,1,2025-07-09 20:52:38.976110
ORD_0015,electronics_accessories_13_2,13,2,electronics,accessories,2,2,2025-07-09 15:59:38.976122
ORD_0015,home_bathroom_16_6,16,6,home,bathroom,3,2,2025-07-10 01:53:38.976134
