order_id,item_id,shelf_location_x,shelf_location_y,zone,item_type,priority,quantity,order_timestamp
ORD_0001,clothing_work_wear_14_10,14,10,clothing,work_wear,1,3,2025-07-09 22:23:39.051655
ORD_0001,clothing_casual_wear_15_8,15,8,clothing,casual_wear,1,3,2025-07-09 19:54:39.051761
ORD_0001,bulk_goods_paper_products_2_2,2,2,bulk_goods,paper_products,2,2,2025-07-09 16:36:39.051795
ORD_0001,bulk_goods_paper_products_4_2,4,2,bulk_goods,paper_products,2,3,2025-07-09 14:30:39.051820
ORD_0001,bulk_goods_beverages_3_7,3,7,bulk_goods,beverages,3,3,2025-07-09 18:38:39.051841
ORD_0002,clothing_seasonal_15_9,15,9,clothing,seasonal,3,2,2025-07-09 09:53:39.052071
ORD_0002,bulk_goods_paper_products_9_7,9,7,bulk_goods,paper_products,2,3,2025-07-09 09:12:39.052115
ORD_0002,electronics_appliances_13_4,13,4,electronics,appliances,1,2,2025-07-09 19:00:39.052138
ORD_0002,food_meat_7_9,7,9,food,meat,2,2,2025-07-09 12:02:39.052159
ORD_0003,bulk_goods_paper_products_3_5,3,5,bulk_goods,paper_products,1,1,2025-07-09 03:41:39.052381
ORD_0003,food_dairy_6_11,6,11,food,dairy,3,2,2025-07-10 01:01:39.052416
ORD_0003,bulk_goods_cleaning_supplies_5_3,5,3,bulk_goods,cleaning_supplies,3,3,2025-07-09 17:27:39.052432
ORD_0003,electronics_tvs_13_4,13,4,electronics,tvs,3,3,2025-07-09 20:17:39.052446
ORD_0004,bulk_goods_paper_products_3_4,3,4,bulk_goods,paper_products,2,1,2025-07-09 14:11:39.052554
ORD_0004,bulk_goods_beverages_7_7,7,7,bulk_goods,beverages,3,3,2025-07-09 23:41:39.052568
ORD_0004,bulk_goods_paper_products_2_6,2,6,bulk_goods,paper_products,3,1,2025-07-09 23:54:39.052581
ORD_0004,food_dairy_4_12,4,12,food,dairy,3,1,2025-07-09 05:57:39.052595
ORD_0004,bulk_goods_beverages_9_4,9,4,bulk_goods,beverages,3,2,2025-07-09 18:35:39.052608
ORD_0005,electronics_appliances_15_2,15,2,electronics,appliances,2,2,2025-07-09 04:16:39.052702
ORD_0005,food_dairy_6_9,6,9,food,dairy,3,3,2025-07-09 14:13:39.052715
ORD_0006,bulk_goods_paper_products_3_4,3,4,bulk_goods,paper_products,2,3,2025-07-09 15:55:39.052810
