order_id,item_id,shelf_location_x,shelf_location_y,zone,item_type,priority,quantity,order_timestamp
ORD_0001,apparel_kids_1_4,1,4,apparel,kids,3,2,2025-07-10 00:45:39.011808
ORD_0001,home_bath_11_6,11,6,home,bath,1,2,2025-07-09 03:25:39.011905
ORD_0002,home_kitchen_14_3,14,3,home,kitchen,1,3,2025-07-09 21:29:39.012271
ORD_0002,apparel_men_1_1,1,1,apparel,men,3,1,2025-07-09 12:49:39.012324
ORD_0002,home_bath_13_1,13,1,home,bath,1,3,2025-07-09 15:30:39.012365
ORD_0002,seasonal_garden_8_4,8,4,seasonal,garden,1,2,2025-07-09 20:54:39.012388
ORD_0002,home_kitchen_13_6,13,6,home,kitchen,1,3,2025-07-09 22:20:39.012406
ORD_0003,apparel_men_1_2,1,2,apparel,men,1,3,2025-07-09 20:35:39.012555
ORD_0003,essentials_beauty_8_8,8,8,essentials,beauty,3,2,2025-07-09 03:40:39.012579
ORD_0003,home_bath_13_5,13,5,home,bath,1,1,2025-07-09 22:30:39.012598
ORD_0003,apparel_kids_2_3,2,3,apparel,kids,1,1,2025-07-09 14:37:39.012620
ORD_0004,home_decor_12_4,12,4,home,decor,3,2,2025-07-09 13:21:39.012757
ORD_0005,apparel_kids_1_1,1,1,apparel,kids,2,1,2025-07-09 11:00:39.012939
ORD_0005,apparel_accessories_2_1,2,1,apparel,accessories,2,2,2025-07-09 18:34:39.012965
ORD_0005,apparel_men_4_3,4,3,apparel,men,3,1,2025-07-09 04:31:39.012985
ORD_0005,seasonal_holiday_9_1,9,1,seasonal,holiday,1,2,2025-07-09 21:20:39.013007
ORD_0006,apparel_accessories_3_1,3,1,apparel,accessories,3,1,2025-07-09 05:58:39.013147
ORD_0006,home_kitchen_11_3,11,3,home,kitchen,3,2,2025-07-09 23:44:39.013171
ORD_0006,home_furniture_14_2,14,2,home,furniture,1,3,2025-07-09 21:22:39.013192
ORD_0006,essentials_beauty_6_6,6,6,essentials,beauty,2,1,2025-07-09 13:47:39.013212
ORD_0007,seasonal_outdoor_7_3,7,3,seasonal,outdoor,3,3,2025-07-09 10:34:39.013334
ORD_0007,apparel_kids_1_6,1,6,apparel,kids,3,2,2025-07-09 09:41:39.013360
ORD_0008,seasonal_garden_9_1,9,1,seasonal,garden,2,1,2025-07-09 09:55:39.013473
